Repository,Task ID,Bug / Task Description,Fix Commit,Patch Length (LOC),Base Commit,Source Archive,Archive Repo Root,Commit Subject,Confidence,Score,Changed File Count,Test File Count,Pass QA?,GPT5.5 Pass Rate,Visible Test Command Guess
godhand,godhand__64b8f123b3cc,Fix: stabilize auth csrf flow and production asset loading,64b8f123b3cc16383b09bfee9edfdaa3dc03f906,214,64461176ae4aac069a5768e7a6b9a4eb67bad8e7,project_silver_repos/JReZXndfFv1WU9etK4hE__godhand.zip,.,fix: stabilize auth csrf flow and production asset loading,high,31,11,1,Yes,8/10,make (inspect Makefile targets)
SwarmSync,swarmsync__110703949faf,"Fix(perf): fix data race in work-stealing pool, bound probe history and event log",110703949faf2d59aa5d682eb4fc7a8995f28bb7,99,cb3a60368c3ce864a3ea991490a44b2bba8bebb4,project_silver_repos/PxRGGPZ8XqTm8dLr9xeZ__SwarmSync.zip,.,"fix(perf): fix data race in work-stealing pool, bound probe history and event log",high,31,5,2,,,go test ./...
whaler,whaler__e400191cf01e,Fix(filesystem-auth): allow worktree access through macOS /var canonical alias (#1589),e400191cf01e8f9672289fac96e8c084e49dff1b,132,884feb42b2697835e66e9219a4f1812e1a20b199,project_silver_repos/oxneHL3CRifbHfhEpV09__whaler.zip,whaler,fix(filesystem-auth): allow worktree access through macOS /var canonical alias (#1589),high,29,2,1,,,npm test
meridian,meridian__44eeae0f868b,Fix infinite loop in simple_cycles and duplicate cycles in cycle_basis,44eeae0f868b6499e82c2ec4514aadd9fe902568,119,09a0ee36c611f474159a35dcdc415b84580a55aa,project_silver_repos/9Y292jyidKCh7dXrlsRa__meridian.zip,meridian,Fix infinite loop in simple_cycles and duplicate cycles in cycle_basis,high,26,9,4,,,pytest
whaler,whaler__806ee585855e,Fix(pi): prefill linked issue URL via env var to bypass paste-readiness race (#1477),806ee585855e265579b002ffdd5a884fe6817793,147,e49d90bee4783dc1b2dfd5865f799d3c1cf1b2a3,project_silver_repos/oxneHL3CRifbHfhEpV09__whaler.zip,whaler,fix(pi): prefill linked issue URL via env var to bypass paste-readiness race (#1477),high,26,7,2,,,npm test
authentication-oidc,authentication-oidc__50454f23fdb7,"Fix(authorizer): break tf cycle properly, drop wildcard auth gateway slot",50454f23fdb775483f0a2209cf5ab6dc5d596816,202,0e97f3a2fba8604aadf02176fd8c2d9fc61d959a,project_silver_repos/kBxiwJ5smfNawnmzbHA9__authentication-oidc.zip,authentication-oidc,"fix(authorizer): break tf cycle properly, drop wildcard auth gateway slot",high,25,9,2,,,npm test
lecturn,lecturn__cbaf1ee7b488,Fix(player): route media through /stream proxy so the auth cookie ships,cbaf1ee7b48809f1c0b37c21caac216744f59a73,136,27fd7250017dd7d27a5f97680f26493a58a96c34,project_silver_repos/XwTadDYsj4OsDyurZ3HC__lecturn.zip,lecturn,fix(player): route media through /stream proxy so the auth cookie ships,high,25,3,1,,,npm test
repflow-frontend,repflow-frontend__d0e8c510d44e,"Fix(auth): pick Cognito defaults from NEXT_PUBLIC_API_BASE_URL, not NODE_ENV",d0e8c510d44eb624a160c23d1c6020978fe3912c,122,00f848013cc7816dd21daf4821ec9f051ad6a992,project_silver_repos/yXA0BqxjhUZ0KUQ7z40x__repflow-frontend.zip,repflow-frontend,"fix(auth): pick Cognito defaults from NEXT_PUBLIC_API_BASE_URL, not NODE_ENV",high,25,3,1,,,npm test
repflow-frontend,repflow-frontend__f3304413b50e,"Fix(auth): pick Cognito defaults from NEXT_PUBLIC_API_BASE_URL, not NODE_ENV",f3304413b50e027e900cc4dee164470829d755c3,122,4cb20ba09396b4c5b4a1bc951a6783f2f947dcd8,project_silver_repos/yXA0BqxjhUZ0KUQ7z40x__repflow-frontend.zip,repflow-frontend,"fix(auth): pick Cognito defaults from NEXT_PUBLIC_API_BASE_URL, not NODE_ENV",high,25,3,1,,,npm test
SwarmSync,swarmsync__1febd1a36f89,Fix: relax concurrent token bucket test tolerance for rate refill race,1febd1a36f898a778ae803dd0c494be9a1920b3f,2,13719b93b554b44b63127655cdf5cdf68081b79a,project_silver_repos/PxRGGPZ8XqTm8dLr9xeZ__SwarmSync.zip,.,fix: relax concurrent token bucket test tolerance for rate refill race,high,25,1,1,,,go test ./...
