rank,repo,candidates,best_score,source_archive
1,FlowQ,3,99.0,project_silver_repos/HTNhvrcMMTlisfdZJgLV__FlowQ.zip
2,TaxscapeCursor,3,90.0,project_silver_repos/s4aTwzcxad0h51IcczoJ__TaxscapeCursor.zip
3,Modelix-DataAnalytics,3,84.5,project_silver_repos/pwDgDXpEDs9oTnwjdmPq__Modelix-DataAnalytics.zip
4,PulseEngine,3,80.0,project_silver_repos/BuyRNeaXb9ZONaC6zY8Y__PulseEngine.zip
5,PulseEngine_patched,3,80.0,project_silver_repos/BuyRNeaXb9ZONaC6zY8Y__PulseEngine_patched.zip
6,nimbus,3,77.0,project_silver_repos/OwE5VYrw5JdtILMqcl8m__nimbus.zip
7,esim-platform,3,76.5,project_silver_repos/s6LjMnkjGj85TwOqceqP__esim-platform.zip
8,ledgerlift,3,76.0,project_silver_repos/8Ys4OhdfSzz331HzQ0ZT__ledgerlift.zip
9,servesync,3,70.0,project_silver_repos/lqqGpMCoMa7neQ3PRLGY__servesync.zip
10,WaveSmith,3,67.0,project_silver_repos/qSt42eVmhZYB7ze74PjV__WaveSmith.zip
11,Airflow-Service,3,63.5,project_silver_repos/ApLroI9rnbMFd5MoIMTg__Airflow-Service.zip
12,airflow_service,3,63.5,project_silver_repos/n7aSzGFIkV78QwGnJSbi__airflow_service.zip
13,FleetFlow,3,63.5,project_silver_repos/LAah0Il9B0BRpf4eaDl1__FleetFlow.zip
14,Silver3,3,60.5,project_silver_repos/Msqjg9r31KDpnPEdVC1L__Silver3.zip
15,trio-new,3,60.0,project_silver_repos/4PJzxaWNhjzpYjAjcn5h__trio-new.zip
16,rivulet,3,59.0,project_silver_repos/BVFtlgghiqiUOo5O74N4__rivulet.zip
17,cstoresupply,3,58.0,project_silver_repos/GcPIeDJPFkw1yTA9b91f__cstoresupply.zip
18,approve-asap,3,56.5,project_silver_repos/qDAOKQZOLAR6hapIrVsB__approve-asap.zip
19,folio-api-sub,3,56.0,project_silver_repos/GB8qxY8lbUZz4OFUKyyK__folio-api-sub.zip
20,MemoryMesh,3,54.5,project_silver_repos/OzwQMqdfFQUzz0jug1VL__MemoryMesh.zip
21,Junehavens-Solution-V2,3,33.0,project_silver_repos/I2LH3oCQ9usNIQRskTJ8__Junehavens-Solution-V2.zip
22,DABB.ai,3,15.0,project_silver_repos/eZADSQBOezQn8oSvoUpI__DABB.ai.zip
23,personal-finance-agent,2,76.0,project_silver_repos/g2u4ya1Xejb50xEyp9vg__personal-finance-agent.zip
24,bookz,2,71.5,project_silver_repos/fhWLd7PLxSnLoaamhbia__bookz.zip
25,kvu,2,70.0,project_silver_repos/g0EA1lDTW8YS9tmA0LeT__kvu.zip
26,repo-1,2,66.0,project_silver_repos/2EEL1nubCwu3lWKAqsnx__repo-1.zip
27,stock-news-sentiment,2,66.0,project_silver_repos/hznzVo4uUAXcdFUOW0XO__stock-news-sentiment.zip
28,diogenes-ai-leadgen,2,65.5,project_silver_repos/0aVyADJfwpYJxMSpnkX9__diogenes-ai-leadgen.zip
29,tradecore,2,64.0,project_silver_repos/RF2gLNPo2M6m6FUeLM8X__tradecore.zip
30,vaultpipe-repo,2,63.5,project_silver_repos/OzB7FQOck4I3FFY24qd2__vaultpipe-repo.zip
31,house-price-prediction,2,63.0,project_silver_repos/d9AczXFCC8QvQW6229cc__house-price-prediction.zip
32,meshlink,2,62.5,project_silver_repos/O2kEIQypm6SmPPkjgQxZ__meshlink.zip
33,fluxpipe,2,62.5,project_silver_repos/jxs4vkz1nLgSdJvyWz5b__fluxpipe.zip
34,pawsdb_build,2,58.0,project_silver_repos/jctxgKxEwQtvJQZKhIPU__pawsdb_build.zip
35,stocktracker,2,49.5,project_silver_repos/1nRH7kOHX4AsJiFZ7dSf__stocktracker.zip
36,cronus-ims,2,44.0,project_silver_repos/ufF90ECSWBNPYRCZPbas__cronus-ims.zip
37,scheduleflow,2,41.5,project_silver_repos/3DqkHV1FJjU5iHbGS4LV__scheduleflow.zip
38,loom,2,36.5,project_silver_repos/cVpER4vnD1jg30eqOAzQ__loom.zip
39,eventnexus,2,32.0,project_silver_repos/Dj2tqFI5qGPI3ctCfOxq__eventnexus.zip
40,runtime-observability-suite-plus,2,30.5,project_silver_repos/fd4eoS738YguSlL5dIYJ__runtime-observability-suite-plus.zip
41,streamgraph,2,21.0,project_silver_repos/S1Q0z1nYlrVXShOqF9zZ__streamgraph.zip
42,queryweave,2,0.5,project_silver_repos/p7HYj4fF183Fhm5xSqg5__queryweave.zip
43,genie-api,1,74.5,project_silver_repos/GstLmUs025XBQxrcJLvx__genie-api.zip
44,runs,1,74.0,project_silver_repos/I7iZVS7GwBncRFOtYjNt__runs.zip
45,brindle,1,72.0,project_silver_repos/ersOkak2IghXoduO0tS1__brindle.zip
46,tallow,1,68.5,project_silver_repos/4TfW0JCuLC0gWSvwrNmH__tallow.zip
