Task ID,Repository,Data Row,Sheet Row,QA Status,QA Stage,QA Updated At,QA Details,Generated Task Path,QA Report Path
paalsportsbetting__6d17994cf67f,PaalSportsBetting,314,315,ERROR,generation,2026-06-22T21:22:23Z,Source archive does not exist: /Users/anwesha/Desktop/aq_frontiercode/repositories/project_silver_repos/S8DtF7EIIAipGtcjHJVI__PaalSportsBetting.zip,,
sync__110703949faf,SwarmSync,2,3,SKIPPED,qa,2026-06-22T20:47:18Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/swarmsync__110703949faf,
authentication-oidc__8a73527b6daa,authentication-oidc,42,43,SKIPPED,qa,2026-06-22T20:47:26Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/authentication-oidc__8a73527b6daa,
depgraph__47022e6857a7,depgraph,403,404,ERROR,generation,2026-06-22T21:22:23Z,Source archive does not exist: /Users/anwesha/Desktop/aq_frontiercode/repositories/project_silver_repos/8emFOAImYGDhpVT5f22q__depgraph.zip,,
ip,,,None,None,None,None,None,None,None
nota__14dfa36b1bd7,nota,1015,1016,ERROR,generation,2026-06-22T21:22:23Z,Source archive does not exist: /Users/anwesha/Desktop/aq_frontiercode/repositories/project_silver_repos/xM24WcBVLv23JcpcCOk0__nota.zip,,
cryograph__64d7825e5988,CryoGraph,401,402,SKIPPED,qa,2026-06-24T19:04:13Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/cryograph__64d7825e5988,
cryograph__8369080cf8e1,CryoGraph,402,403,SKIPPED,qa,2026-06-24T19:04:37Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/cryograph__8369080cf8e1,
nexusflow__cf235510a82e,nexusflow,313,314,SKIPPED,qa,2026-06-22T21:22:36Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/nexusflow__cf235510a82e,
durab__retry-backoff-regression,durab,1,2,SKIPPED,qa,2026-06-22T21:39:59Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/durab__retry-backoff-regression,
